 Corr.Time[ms]           Correlation(1->2+2->1)  Weighting(1->2+2->1)    Correlation(1->2)       Weighting(1->2)         Correlation(2->1)       Weighting(2->1)
 3.45479518175125E-0001  1.25418226974177E+0000  3.56971430658862E+0001  1.25418226974177E+0000  3.56971430658862E+0001  1.25418226974177E+0000  3.56971430658862E+0001
 3.71079832315445E-0001  1.16034673691660E+0000  2.46170960874944E+0001  1.16034673691660E+0000  2.46170960874944E+0001  1.16034673691660E+0000  2.46170960874944E+0001
 3.96680176258087E-0001  1.16460270271366E+0000  1.94524479415648E+0001  1.16460270271366E+0000  1.94524479415648E+0001  1.16460270271366E+0000  1.94524479415648E+0001
 4.22280520200729E-0001  1.24689487057946E+0000  2.07909019474498E+0001  1.24689487057946E+0000  2.07909019474498E+0001  1.24689487057946E+0000  2.07909019474498E+0001
 4.47880834341049E-0001  1.18647904497089E+0000  3.10999027934375E+0001  1.18647904497089E+0000  3.10999027934375E+0001  1.18647904497089E+0000  3.10999027934375E+0001
 4.73481178283691E-0001  1.17897143647016E+0000  1.30817838141726E+0001  1.17897143647016E+0000  1.30817838141726E+0001  1.17897143647016E+0000  1.30817838141726E+0001
 4.99081522226334E-0001  1.15181698980288E+0000  2.70832529740597E+0001  1.15181698980288E+0000  2.70832529740597E+0001  1.15181698980288E+0000  2.70832529740597E+0001
 5.37482023239136E-0001  1.18204784303221E+0000  2.26018401079477E+0001  1.18204784303221E+0000  2.26018401079477E+0001  1.18204784303221E+0000  2.26018401079477E+0001
 5.88682651519775E-0001  1.23528900647791E+0000  5.40113040049092E+0001  1.23528900647791E+0000  5.40113040049092E+0001  1.23528900647791E+0000  5.40113040049092E+0001
 6.39883339405060E-0001  1.15680306886095E+0000  1.88943939358588E+0001  1.15680306886095E+0000  1.88943939358588E+0001  1.15680306886095E+0000  1.88943939358588E+0001
 6.91084027290344E-0001  1.17915309923608E+0000  2.60496522839387E+0001  1.17915309923608E+0000  2.60496522839387E+0001  1.17915309923608E+0000  2.60496522839387E+0001
 7.42284655570984E-0001  1.11885858406183E+0000  1.68307600907077E+0001  1.11885858406183E+0000  1.68307600907077E+0001  1.11885858406183E+0000  1.68307600907077E+0001
 7.93485343456268E-0001  1.13977044312419E+0000  1.75382550914082E+0001  1.13977044312419E+0000  1.75382550914082E+0001  1.13977044312419E+0000  1.75382550914082E+0001
 8.44686031341553E-0001  1.07595859568170E+0000  4.25959149136283E+0001  1.07595859568170E+0000  4.25959149136283E+0001  1.07595859568170E+0000  4.25959149136283E+0001
 8.95886659622192E-0001  1.03753807032121E+0000  2.06993005856526E+0001  1.03753807032121E+0000  2.06993005856526E+0001  1.03753807032121E+0000  2.06993005856526E+0001
 9.47087347507477E-0001  1.13688022408602E+0000  5.28298510395097E+0001  1.13688022408602E+0000  5.28298510395097E+0001  1.13688022408602E+0000  5.28298510395097E+0001
 9.98288035392761E-0001  1.08751063273870E+0000  7.92446019197609E+0001  1.08751063273870E+0000  7.92446019197609E+0001  1.08751063273870E+0000  7.92446019197609E+0001
 1.07508897781372E+0000  1.13764074051435E+0000  4.50136883530217E+0001  1.13764074051435E+0000  4.50136883530217E+0001  1.13764074051435E+0000  4.50136883530217E+0001
 1.17749035358429E+0000  1.07676532946917E+0000  2.82616393813697E+0001  1.07676532946917E+0000  2.82616393813697E+0001  1.07676532946917E+0000  2.82616393813697E+0001
 1.27989172935486E+0000  1.10202001197103E+0000  4.21193147689261E+0001  1.10202001197103E+0000  4.21193147689261E+0001  1.10202001197103E+0000  4.21193147689261E+0001
 1.38229298591614E+0000  1.03593573953244E+0000  2.70599988756978E+0001  1.03593573953244E+0000  2.70599988756978E+0001  1.03593573953244E+0000  2.70599988756978E+0001
 1.48469436168671E+0000  1.05893035121825E+0000  2.17947265397031E+0001  1.05893035121825E+0000  2.17947265397031E+0001  1.05893035121825E+0000  2.17947265397031E+0001
 1.58709573745728E+0000  9.94597357000326E-0001  5.11086101380064E+0001  9.94597357000326E-0001  5.11086101380064E+0001  9.94597357000326E-0001  5.11086101380064E+0001
 1.68949699401855E+0000  1.02635308235274E+0000  3.12404532188194E+0001  1.02635308235274E+0000  3.12404532188194E+0001  1.02635308235274E+0000  3.12404532188194E+0001
 1.79189836978912E+0000  1.00555501283305E+0000  4.08109917454058E+0001  1.00555501283305E+0000  4.08109917454058E+0001  1.00555501283305E+0000  4.08109917454058E+0001
 1.89429974555969E+0000  9.91538970500953E-0001  5.73392753947739E+0001  9.91538970500953E-0001  5.73392753947739E+0001  9.91538970500953E-0001  5.73392753947739E+0001
 1.99670100212097E+0000  1.00348000516168E+0000  2.00544792920146E+0001  1.00348000516168E+0000  2.00544792920146E+0001  1.00348000516168E+0000  2.00544792920146E+0001
 2.15030312538147E+0000  9.60730873335123E-0001  6.89930512816593E+0001  9.60730873335123E-0001  6.89930512816593E+0001  9.60730873335123E-0001  6.89930512816593E+0001
 2.35510563850403E+0000  9.47331904848555E-0001  3.98579352114080E+0001  9.47331904848555E-0001  3.98579352114080E+0001  9.47331904848555E-0001  3.98579352114080E+0001
 2.55990839004517E+0000  9.41564305817983E-0001  6.03148590786124E+0001  9.41564305817983E-0001  6.03148590786124E+0001  9.41564305817983E-0001  6.03148590786124E+0001
 2.76471114158630E+0000  9.29218751834936E-0001  9.72221378058875E+0001  9.29218751834936E-0001  9.72221378058875E+0001  9.29218751834936E-0001  9.72221378058875E+0001
 2.96951365470886E+0000  9.35213166280724E-0001  8.85817480211017E+0001  9.35213166280724E-0001  8.85817480211017E+0001  9.35213166280724E-0001  8.85817480211017E+0001
 3.17431640625000E+0000  9.23718004056410E-0001  4.65426417405368E+0001  9.23718004056410E-0001  4.65426417405368E+0001  9.23718004056410E-0001  4.65426417405368E+0001
 3.37911915779114E+0000  8.83758190952970E-0001  5.55447415301796E+0001  8.83758190952970E-0001  5.55447415301796E+0001  8.83758190952970E-0001  5.55447415301796E+0001
 3.58392167091370E+0000  8.88305091552369E-0001  8.17989927907123E+0001  8.88305091552369E-0001  8.17989927907123E+0001  8.88305091552369E-0001  8.17989927907123E+0001
 3.78872442245483E+0000  8.31670833530482E-0001  4.80695561166060E+0001  8.31670833530482E-0001  4.80695561166060E+0001  8.31670833530482E-0001  4.80695561166060E+0001
 3.99352717399597E+0000  8.62047555416180E-0001  4.56006521689595E+0001  8.62047555416180E-0001  4.56006521689595E+0001  8.62047555416180E-0001  4.56006521689595E+0001
 4.30073118209839E+0000  8.00324052259571E-0001  6.52829793157329E+0001  8.00324052259571E-0001  6.52829793157329E+0001  8.00324052259571E-0001  6.52829793157329E+0001
 4.71033668518066E+0000  7.85406038830128E-0001  1.14420971881033E+0002  7.85406038830128E-0001  1.14420971881033E+0002  7.85406038830128E-0001  1.14420971881033E+0002
 5.11994171142578E+0000  7.52622022161408E-0001  5.29437655401843E+0001  7.52622022161408E-0001  5.29437655401843E+0001  7.52622022161408E-0001  5.29437655401843E+0001
 5.52954721450806E+0000  7.28502107800256E-0001  5.00464256707731E+0001  7.28502107800256E-0001  5.00464256707731E+0001  7.28502107800256E-0001  5.00464256707731E+0001
 5.93915271759033E+0000  7.00535384655939E-0001  4.07692294337157E+0001  7.00535384655939E-0001  4.07692294337157E+0001  7.00535384655939E-0001  4.07692294337157E+0001
